;fecha;hora;dep;jur;tipo.sin;vehi;rol;edad;sexo;f.dias;otro.vehi;dir;x;y
2017;01/01/2017;05:50:00;MONTEVIDEO;NACIONAL;DESPISTE;MOTO;CONDUCTOR;39;M;0;;RAMBLA VEINTICINCO DE AGOSTO DE 1825 ESQ. JUAN CARLOS GOMEZ;572623;
2017;01/02/2017;07:50:00;ROCHA;NACIONAL;DESPISTE;AUTO;CONDUCTOR;21;M;0;;RUTA 9 KM 18;;
2017;01/02/2017;07:10:00;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;62;F;0;OMNIBUS;EDUARDO VICTOR HAEDO ESQ. DOCTOR MARIO CASSINONI;576185;
2017;01/02/2017;22:30:00;COLONIA;NACIONAL;DESPISTE;AUTO;PASAJERO;9;F;2;;RUTA 1 KM. 134;;
2017;01/03/2017;19:00:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;19;M;0;CAMIONETA;AVENIDA LUIS BATLLE BERRES ESQ. CAMINO LOS CAMALOTES;562062;
2017;01/04/2017;21:30:00;SALTO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;33;M;4;MOTO;HERRERA Y OBES ESQ. OSIMANI Y LERENA;408743;
2017;01/07/2017;17:10:00;SAN JOSE;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;36;M;1;AUTO;RUTA 1 KM. 75;;
2017;01/08/2017;07:00:00;RIVERA;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;64;M;1;;AVENIDA ITALIA ESQ. SANTIAGO SIERRA;635984;
2017;01/08/2017;07:50:00;LAVALLEJA;NACIONAL;DESPISTE;MOTO;CONDUCTOR;18;M;0;;RUTA 7 KM 207;673389;
2017;01/09/2017;08:50:00;COLONIA;NACIONAL;DESPISTE;AUTO;CONDUCTOR;37;M;0;;RUTA 22 KM 9;427085;
2017;01/09/2017;08:50:00;COLONIA;NACIONAL;DESPISTE;AUTO;PASAJERO;32;M;0;;RUTA 22 KM 9;427085;
2017;01/09/2017;08:50:00;COLONIA;NACIONAL;DESPISTE;AUTO;PASAJERO;34;M;6;;RUTA 22 KM 9;427085;
2017;01/09/2017;13:52:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;10;M;0;CAMION;RUTA 5 KM 14;566934;
2017;01/12/2017;05:00:00;PAYSANDU;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;47;M;0;CAMIONETA;RUTA 90 KM 14;409450;
2017;01/12/2017;15:18:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;21;M;0;AUTO;AVENIDA LUIS BATLLE BERRES ESQ. NUEVO LLAMAS;563746;
2017;14/01/2017;16:00:00;FLORIDA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;35;M;0;CAMION;RUTA 5 Y RUTA 12;575411
2017;14/01/2017;16:00:00;FLORIDA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;22;F;0;CAMION;RUTA 5 Y RUTA 12;575411
2017;15/01/2017;21:51:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;41;F;0;OMNIBUS;AVENIDA GENERAL EUGENIO GARZON ESQ. CAMINO CASAVALLE;571265
2017;15/01/2017;21:51:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;31;F;0;OMNIBUS;AVENIDA GENERAL EUGENIO GARZON ESQ. CAMINO CASAVALLE;571265
2017;16/01/2017;05:00:00;MONTEVIDEO;DEPARTAMENTAL;DESPISTE;AUTO;PASAJERO;23;M;0;;AVENIDA GENERAL FLORES ESQ. CARLOS REYLES;574734
2017;17/01/2017;11:30:00;CANELONES;DEPARTAMENTAL;CAIDA;BICICLETA;CONDUCTOR;63;M;0;;CERRO LARGO ESQ. RIVERA;571033
2017;17/01/2017;06:12:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;51;M;1;CAMION;BOULEVARD JOSE BATLLE Y ORDO—EZ ESQ. GENERAL JULIO AMADEO ROLETTI;577441
2017;18/01/2017;04:00:00;CANELONES;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;19;M;0;;CALLE 2 ESQ. CALLE 7;592571
2017;19/01/2017;18:23:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;22;F;0;OMNIBUS;BOULEVARD ESPA—A ESQ. ENRIQUE MU—OZ;576941
2017;19/01/2017;21:18:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;21;M;0;CAMION;RUTA 5 NRO. KM 9 ESQ. LUIS BATLLE BERRES;568220
2017;19/01/2017;18:55:00;SAN JOSE;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;26;M;0;CAMION;LAS ACACIAS ESQ. LAS CASUARINAS;553407
2017;22/01/2017;04:30:00;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;55;M;0;OMNIBUS;ALDABALDE ESQ. TISCORNIA;570172
2017;22/01/2017;09:05:00;CERRO LARGO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;39;M;1;CAMION;CENTENARIO ESQ. JOAQUIN RAMON TRAVIESO;839280
2017;22/01/2017;07:15:00;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;32;M;4;BICICLETA;AVENIDA INGENIERO LUIS GIANNATTASIO ESQ. FILADELFIA;592197
2017;22/01/2017;21:11:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;31;M;0;OMNIBUS;AVENIDA GENERAL FLORES ESQ. GRONARDO;577472
2017;23/01/2017;08:20:00;SALTO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;85;M;14;MOTO;AVENIDA PASCUAL HARRIAGUE ESQ. VEINTICINCO DE AGOSTO;408620
2017;23/01/2017;12:26:00;CERRO LARGO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;36;M;1;MOTO;BULEVAR MATTA Y EJIDO;766932
2017;24/01/2017;02:05:00;MALDONADO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;49;M;0;AUTO;RUTA 9 KM. 129;
2017;24/01/2017;00:30:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;57;M;1;AUTO;CALDERON DE LA BARCA ESQ. LANUS;570619
2017;24/01/2017;07:05:00;PAYSANDU;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;55;M;0;CAMION;ENRIQUE CHAPLIN ESQ. NDUSTRIAS;400523
2017;25/01/2017;09:40:00;ROCHA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;52;M;0;CAMIONETA;RUTA 9 KM. 223;
2017;25/01/2017;09:40:00;ROCHA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;22;F;0;CAMIONETA;RUTA 9 KM. 223;
2017;25/01/2017;09:40:00;ROCHA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;25;F;0;CAMIONETA;RUTA 9 KM. 223;
2017;25/01/2017;19:20:00;CANELONES;NACIONAL;DESPISTE;MOTO;CONDUCTOR;35;M;0;;RUTA 64 KM. 2;
2017;27/01/2017;03:46:00;SALTO;DEPARTAMENTAL;DESPISTE;MOTO;PASAJERO;26;F;0;;AVENIDA RAUL GAUDIN;448471
2017;27/01/2017;21:46:00;PAYSANDU;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;49;M;0;CAMION;CAMINO GENERAL A LA COLONIA ESQ;
2017;29/01/2017;01:46:00;TACUAREMBO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;28;M;1;MOTO;ERNESTO MIQUELSON ESQ. SARANDI;595813
2017;29/01/2017;01:30:00;COLONIA;DEPARTAMENTAL;DESPISTE;MOTO;CONDUCTOR;20;M;0;;SARANDI ESQ. BORRAS;467478
2017;29/01/2017;10:20:00;LAVALLEJA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;46;M;0;AUTO;RUTA 8 KM. 214;
2017;29/01/2017;12:00:00;CERRO LARGO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;32;F;1;MOTO;CARRETERA SAN DIEGO ESQ. SEVERIANO GIL;772062
2017;29/01/2017;15:30:00;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;94;F;1;AUTO;RUTA 1 KM 118;
2017;02/01/2017;00:00:00;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;87;M;0;CAMION;RUTA 21 INTERSECCION RUTA 55;409831
2017;02/02/2017;15:45:00;CERRO LARGO;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;27;M;0;CAMIONETA;RUTA 7 KM 340;
2017;02/03/2017;21:59:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;55;M;1;AUTO;CAMINO CARRASCO ESQ. SANTA MONICA;585861
2017;02/04/2017;05:40:00;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;59;M;0;MOTO;GENERAL ARTIGAS (EX. RUTA 5) KM. 27;
2017;02/04/2017;18:50:00;SALTO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;19;M;0;;RUTA 31 KM. 13;
2017;02/06/2017;11:30:00;CANELONES;NACIONAL;DESPISTE;MOTO;CONDUCTOR;37;M;1;;RUTA 8 KM 26;
2017;02/06/2017;21:00:00;ARTIGAS;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;37;M;0;CAMIONETA;RUTA 4 KM. 131;
2017;02/08/2017;16:03:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;22;M;0;CAMION;RUTA 5 KM 13;
2017;02/08/2017;13:15:00;COLONIA;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;52;M;1;;DAVID EVANS ESQ. LUIS GIL;404826
2017;02/10/2017;14:40:00;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;70;F;9;AUTO;RUTA 8 KM 24;
2017;02/10/2017;17:00:00;SALTO;NACIONAL;DESPISTE;AUTO;PASAJERO;50;M;1;;RUTA 4 KM 115;
2017;02/12/2017;10:00:00;FLORES;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;53;M;0;CAMION;RUTA 3 KM 164;
2017;16/02/2017;14:30:00;RIVERA;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;37;M;0;;RUTA 5 KM 459;
2017;16/02/2017;14:30:00;RIVERA;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;59;F;0;;RUTA 5 KM 459;
2017;16/02/2017;14:10:00;TACUAREMBO;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;42;F;0;;RUTA 5 KM 410;
2017;17/02/2017;10:15:00;SAN JOSE;NACIONAL;CAIDA;MOTO;PASAJERO;47;F;0;CAMION;RUTA 1 KM 122;
